,PG&E FI with demo Variables
tothh,0.038656236791295616
racediversity,0.02947460417385215
black_pct,0.01943163083571029
asian_pct,0.03696071408298929
nlxwhite_pct,0.028070451821464493
latinx_pct,0.03266670910910811
inc50kbelow_pct,0.02795946760780114
inc150kplus_pct,0.027676475798820578
medhhinc,0.02353756870062901
edavgyrs,0.03528640040018837
polexposure_pctl,0.05680910009648266
polenvt_pctl,0.06195119269717402
popsens_pctl,0.035579588883636555
lingisolation_pctl,0.03675931337359121
hhdensity_hhsqkm,0.3996923912992496
ownerocc_pct,0.02911683943981659
MUD_pct,0.02114656279763675
unitsavg,0.028514613116221846
medyrbuilt,0.030710138974331724
