,PG&E FI with demo_hhdens Variables
tothh,0.06998961483533855
racediversity,0.047982770366998995
black_pct,0.027841123045069572
asian_pct,0.06214191938525123
nlxwhite_pct,0.04747055739686884
latinx_pct,0.0490531485848825
inc50kbelow_pct,0.04426474408199804
inc150kplus_pct,0.04777620774652349
medhhinc,0.04130634006073528
edavgyrs,0.05691662808175885
polexposure_pctl,0.09190677594041607
polenvt_pctl,0.10038834037160095
popsens_pctl,0.057103874182436086
lingisolation_pctl,0.061502074909941126
ownerocc_pct,0.04989880235669209
MUD_pct,0.03534763337836303
unitsavg,0.05293127189121068
medyrbuilt,0.05617817338391462
