,SCE FI with demo_hhdens Variables
tothh,0.06532348637892521
racediversity,0.059438013583276446
black_pct,0.0436839910097654
asian_pct,0.04352958642159766
nlxwhite_pct,0.05071765921903517
latinx_pct,0.0548788156661395
inc50kbelow_pct,0.05466467118785611
inc150kplus_pct,0.04063804708044211
medhhinc,0.05875751065986626
edavgyrs,0.05166810581455821
polexposure_pctl,0.07573712578307196
polenvt_pctl,0.0943499814426649
popsens_pctl,0.06457622437360483
lingisolation_pctl,0.049253132837996
ownerocc_pct,0.05061751743889227
MUD_pct,0.03638049242892577
unitsavg,0.0598415041492505
medyrbuilt,0.045944134524131756
